"STATION","NAME","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-01","-6.8","-13.4","-2.7","-12.5","2.8","-12.1","-8.2","-12.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-02","-6.8","-13.4","-2.8","-12.4","2.7","-12.0","-8.3","-12.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-03","-6.8","-13.4","-2.9","-12.4","2.6","-11.9","-8.4","-12.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-04","-6.8","-13.4","-3.0","-12.3","2.5","-11.9","-8.5","-11.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-05","-6.8","-13.4","-3.1","-12.3","2.4","-11.9","-8.6","-11.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-06","-6.8","-13.4","-3.2","-12.3","2.3","-11.8","-8.7","-11.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-07","-6.8","-13.4","-3.3","-12.2","2.3","-11.8","-8.8","-11.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-08","-6.8","-13.4","-3.3","-12.2","2.2","-11.8","-8.8","-11.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-09","-6.8","-13.4","-3.4","-12.1","2.1","-11.7","-8.9","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-10","-6.8","-13.4","-3.4","-12.1","2.1","-11.7","-8.9","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-11","-6.8","-13.3","-3.5","-12.1","2.0","-11.7","-9.0","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-12","-6.8","-13.3","-3.5","-12.1","2.0","-11.7","-9.0","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-13","-6.8","-13.3","-3.6","-12.1","1.9","-11.7","-9.1","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-14","-6.8","-13.3","-3.6","-12.1","1.9","-11.7","-9.1","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-15","-6.8","-13.2","-3.6","-12.0","1.9","-11.7","-9.1","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-16","-6.8","-13.2","-3.6","-12.0","1.8","-11.7","-9.1","-11.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-17","-6.8","-13.2","-3.7","-12.0","1.8","-11.7","-9.1","-11.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-18","-6.8","-13.2","-3.7","-12.0","1.8","-11.7","-9.1","-11.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-19","-6.8","-13.1","-3.7","-12.1","1.8","-11.7","-9.1","-11.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-20","-6.8","-13.1","-3.6","-12.1","1.8","-11.7","-9.1","-11.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-21","-6.8","-13.1","-3.6","-12.1","1.8","-11.8","-9.1","-11.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-22","-6.8","-13.0","-3.6","-12.1","1.9","-11.8","-9.1","-11.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-23","-6.8","-13.0","-3.6","-12.2","1.9","-11.9","-9.1","-11.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-24","-6.8","-13.0","-3.6","-12.2","1.9","-11.9","-9.1","-11.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-25","-6.8","-13.0","-3.5","-12.3","2.0","-12.0","-9.0","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-26","-6.8","-12.9","-3.5","-12.3","2.0","-12.1","-9.0","-11.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-27","-6.8","-13.0","-3.4","-12.4","2.1","-12.1","-8.9","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-28","-6.7","-13.0","-3.4","-12.4","2.2","-12.2","-8.9","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-29","-6.7","-13.0","-3.3","-12.5","2.2","-12.2","-8.8","-11.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-30","-6.7","-13.0","-3.3","-12.6","2.3","-12.3","-8.8","-11.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","01-31","-6.7","-13.0","-3.2","-12.6","2.4","-12.3","-8.7","-11.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-01","-6.6","-13.0","-3.1","-12.7","2.4","-12.4","-8.7","-11.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-02","-6.6","-13.0","-3.1","-12.7","2.6","-12.4","-8.6","-12.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-03","-6.6","-13.0","-2.9","-12.8","2.6","-12.4","-8.6","-12.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-04","-6.6","-13.0","-2.9","-12.8","2.7","-12.5","-8.5","-12.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-05","-6.5","-13.1","-2.8","-12.9","2.8","-12.6","-8.4","-12.2"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-06","-6.4","-13.1","-2.7","-12.9","2.9","-12.6","-8.4","-12.2"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-07","-6.4","-13.1","-2.6","-13.0","3.1","-12.6","-8.3","-12.3"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-08","-6.4","-13.1","-2.5","-13.1","3.2","-12.6","-8.2","-12.3"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-09","-6.3","-13.1","-2.4","-13.1","3.3","-12.7","-8.1","-12.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-10","-6.3","-13.1","-2.3","-13.1","3.4","-12.7","-8.1","-12.4"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-11","-6.2","-13.2","-2.2","-13.1","3.6","-12.7","-7.9","-12.5"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-12","-6.2","-13.2","-2.1","-13.2","3.7","-12.7","-7.9","-12.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-13","-6.2","-13.2","-1.9","-13.2","3.8","-12.7","-7.8","-12.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-14","-6.1","-13.2","-1.8","-13.2","4.0","-12.7","-7.7","-12.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-15","-6.1","-13.2","-1.7","-13.2","4.1","-12.7","-7.6","-12.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-16","-6.0","-13.2","-1.6","-13.2","4.3","-12.7","-7.5","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-17","-6.0","-13.3","-1.5","-13.2","4.4","-12.7","-7.4","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-18","-5.9","-13.3","-1.4","-13.2","4.6","-12.6","-7.3","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-19","-5.9","-13.3","-1.2","-13.1","4.7","-12.6","-7.2","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-20","-5.9","-13.3","-1.1","-13.1","4.8","-12.6","-7.1","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-21","-5.8","-13.3","-1.0","-13.1","5.0","-12.6","-6.9","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-22","-5.8","-13.3","-0.9","-13.1","5.1","-12.5","-6.8","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-23","-5.8","-13.3","-0.7","-13.1","5.3","-12.5","-6.7","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-24","-5.8","-13.3","-0.6","-13.1","5.4","-12.4","-6.6","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-25","-5.7","-13.3","-0.4","-13.1","5.6","-12.4","-6.5","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-26","-5.7","-13.2","-0.3","-13.1","5.7","-12.4","-6.4","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-27","-5.7","-13.2","-0.2","-13.1","5.8","-12.4","-6.2","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-28","-5.7","-13.2","-0.1","-13.1","6.0","-12.4","-6.1","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","02-29","-5.7","-13.2","0.0","-13.1","6.1","-12.3","-6.1","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-01","-5.7","-13.2","0.1","-13.1","6.1","-12.3","-5.9","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-02","-5.7","-13.2","0.2","-13.1","6.3","-12.3","-5.8","-12.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-03","-5.7","-13.2","0.4","-13.1","6.4","-12.3","-5.7","-12.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-04","-5.7","-13.2","0.5","-13.1","6.6","-12.4","-5.6","-12.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-05","-5.7","-13.1","0.7","-13.2","6.7","-12.4","-5.4","-12.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-06","-5.7","-13.1","0.8","-13.2","6.8","-12.4","-5.2","-12.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-07","-5.7","-13.1","0.9","-13.2","7.0","-12.4","-5.1","-12.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-08","-5.7","-13.1","1.1","-13.2","7.1","-12.4","-4.9","-12.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-09","-5.7","-13.1","1.3","-13.3","7.3","-12.4","-4.8","-12.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-10","-5.8","-13.1","1.4","-13.3","7.4","-12.4","-4.6","-13.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-11","-5.8","-13.0","1.6","-13.3","7.6","-12.4","-4.4","-13.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-12","-5.8","-13.0","1.7","-13.3","7.7","-12.4","-4.3","-13.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-13","-5.8","-13.0","1.9","-13.4","7.8","-12.4","-4.1","-13.1"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-14","-5.8","-12.9","2.1","-13.4","8.0","-12.4","-3.9","-13.2"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-15","-5.9","-12.9","2.2","-13.4","8.2","-12.4","-3.8","-13.2"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-16","-5.9","-12.9","2.4","-13.5","8.3","-12.5","-3.6","-13.3"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-17","-5.9","-12.9","2.6","-13.6","8.4","-12.5","-3.4","-13.3"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","03-18","-5.9","-12.8","2.7","-13.6","8.6","-12.5","-3.2","-13.4"
