Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	negative regulation of apoptotic process (GO:0043066)	19/485	2.5721925023062823e-07	0.0013125898339268955	0	0	4.05961220020298	61.5978640111431	CDKN2D;PRELID1;ANXA1;GPX1;ANXA4;CAV1;PLAUR;HMGA2;ASCL1;MT3;THBS1;ARHGDIA;BIRC5;BNIP2;SOX9;CRYAB;CD44;SNCA;MAD2L1
GO_Biological_Process_2018	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	8/68	2.930029367244822e-07	0.0007475969930525162	0	0	12.191405059433098	183.39632069526508	CDKN2D;GPX1;PLAUR;BIRC5;THBS1;MT3;CD44;SNCA
GO_Biological_Process_2018	negative regulation of programmed cell death (GO:0043069)	16/408	2.3388801299534863e-06	0.00397843510105088	0	0	4.0638016864776985	52.69059563178752	PRELID1;ANXA1;ANXA4;PLAUR;HMGA2;ASCL1;MT3;THBS1;ARHGDIA;BIRC5;BNIP2;SOX9;CRYAB;CD44;SNCA;MAD2L1
GO_Biological_Process_2018	negative regulation of neuron differentiation (GO:0045665)	7/64	2.7273052635343243e-06	0.0034793596899539143	0	0	11.334196891191711	145.21595795735664	ID2;ID1;STMN2;LPAR1;ID3;SOX9;ASCL1
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	23/815	4.1091347129547585e-06	0.004193782888041627	0	0	2.9244413363425408	36.26979318175725	PRELID1;BEX2;ANXA1;TNFRSF12A;ACTN1;ANXA4;PLAUR;HMGA2;ASCL1;MT3;THBS1;GADD45G;MLLT11;ARHGDIA;GAS1;BIRC5;BNIP2;SOX9;SGK1;CRYAB;CD44;SNCA;MAD2L1
GO_Biological_Process_2018	platelet degranulation (GO:0002576)	8/124	2.755322516897323e-05	0.02343401800621173	0	0	6.685609226140731	70.1948250923791	SPARC;ACTN1;SERPINE1;CD9;TAGLN2;TIMP1;THBS1;TUBA4A
GO_Biological_Process_2018	regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	5/39	3.504284570136178e-05	0.025546234516292732	0	0	13.285505513484786	136.29519173980694	LGALS3;GPX1;SERPINE1;HMOX1;THBS1
GO_Biological_Process_2018	negative regulation of epithelial cell proliferation (GO:0050680)	6/66	4.195917555837233e-05	0.026764709109296743	0	0	9.420631182289213	94.9487840122884	CDKN1C;SPARC;CAV2;CAV1;SOX9;THBS1
GO_Biological_Process_2018	maturation of LSU-rRNA (GO:0000470)	4/22	5.3660587260290416e-05	0.03042555297658467	0	0	18.841262364578427	185.26296314515	EIF6;NHP2;RRP15;FTSJ3
GO_Biological_Process_2018	positive regulation of transport (GO:0051050)	5/44	6.356700422356667e-05	0.03243824225528608	0	0	11.775788977861517	113.79434790106586	ANXA1;ANXA2;FLOT1;SGK1;SNCA
